i,subset,qa,qs,qn,x,n,n.obs,prior.mean,obs.min,obs.max,posterior.mean,posterior.hdi.low,posterior.hdi.high,obs.range,hdi.range
831,S846,0.3091,0.1908,0.5001,0.2526,9810,5,0.35563710499490314,0.35331294597349644,0.3586136595310907,0.35567960268837706,0.3499778511135231,0.3608443250964891,0.005300713557594261,0.01086647398296603
832,S847,0.5941,0.0056,0.4003,0.0618,9102,5,0.5900241705119754,0.5897604921995165,0.5903098220171391,0.5900579802002729,0.5830494441401631,0.5973064649920694,5.49329817622568e-4,0.014257020851906277
833,S848,0.1238,0.3688,0.5074,0.6712,2116,5,0.37930056710775045,0.3709829867674858,0.3898865784499055,0.379376078334965,0.3689637902672567,0.3917188276199134,0.018903591682419674,0.022755037352656715
834,S849,0.5734,0.2222,0.2044,0.185,9563,5,0.6123392240928579,0.6112098713792743,0.6138241137718289,0.6124092293498765,0.6053711619872207,0.6192591362831017,0.002614242392554589,0.013887974295880956
835,S85,0.3282,0.6457,0.0261,0.0113,4069,5,0.33767510444826737,0.33644630130253134,0.33865814696485624,0.3376916096870561,0.3291709397737006,0.34533925899187834,0.002211845662324907,0.01616831921817774
836,S850,0.5115,0.0133,0.4753,0.8655,4389,5,0.5049441786283891,0.5046707678286626,0.5051264524948735,0.5049684570367124,0.49475746908005336,0.5140674456709419,4.556846662109315e-4,0.01930997659088851
837,S851,0.3326,0.3771,0.2903,0.7646,3838,5,0.6220427305888483,0.6185513288170922,0.6261073475768629,0.6220431511252715,0.6108453928202944,0.6344681634321527,0.007556018759770744,0.023622770611858357
838,S852,0.1426,0.5272,0.3302,0.7636,6315,5,0.5411243072050673,0.5306413301662708,0.5483768804433887,0.5412486572016583,0.5328388625248704,0.5491702700113512,0.01773555027711793,0.016331407486480765
839,S853,0.3173,0.2762,0.4065,0.1882,4075,5,0.3808098159509202,0.3786503067484663,0.3825766871165644,0.3808488758925732,0.37268130573184666,0.3890404055086205,0.003926380368098115,0.016359099776773856
840,S854,0.4825,0.3258,0.1917,0.1446,7130,5,0.5236746143057504,0.5193548387096775,0.5270687237026648,0.5236885883452834,0.5163388431281506,0.5320273677863493,0.007713884992987308,0.0156885246581987
841,S855,0.1636,0.3502,0.4862,0.7118,4340,5,0.4205069124423963,0.41589861751152074,0.42626728110599077,0.42058468911733815,0.4127380944919026,0.42938868756553994,0.010368663594470029,0.016650593073637365
842,S856,0.3249,0.3155,0.3596,0.8892,4775,5,0.601089005235602,0.5970680628272251,0.6037696335078534,0.6012706550824436,0.5912862388800808,0.6115011697344299,0.006701570680628266,0.02021493085434911
843,S857,0.1911,0.3577,0.4512,0.4134,8781,5,0.34084956155335383,0.33959685685001706,0.3419883840109327,0.34086889492829914,0.335476879632442,0.3464212531612785,0.0023915271609156186,0.010944373528836482
844,S858,0.1469,0.4633,0.3898,0.3169,9272,5,0.2970448662640207,0.29357204486626404,0.2997195858498706,0.2970773591030952,0.29196424239737095,0.30215823773714956,0.0061475409836065364,0.010193995339778605
845,S859,0.0846,0.308,0.6074,0.6494,7477,5,0.2867192724354688,0.2847398689313896,0.28861842985154473,0.2867607682522376,0.28100893338611577,0.29243714851170954,0.0038785609201551496,0.011428215125593777
846,S86,0.5513,0.0762,0.3726,0.0199,7757,5,0.5544153667655022,0.5535645223668945,0.5549825963645739,0.5545100059521175,0.5467777315277015,0.5623278327565885,0.0014180739976794587,0.015550101228887003
847,S860,0.2281,0.6431,0.1288,0.5973,8144,5,0.6068025540275049,0.6028978388998035,0.6138261296660118,0.6067871019647686,0.5988260101677837,0.614648887230125,0.01092829076620827,0.015822877062341312
848,S861,0.4777,0.4199,0.1024,0.1493,8479,5,0.5419271140464678,0.5394504068876047,0.5472343436726029,0.5419263848987341,0.5348880734087288,0.5493061803429563,0.007783936784998224,0.014418106934227515
